날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 15. 오전 11:03:15,준호,수열의 합에서 n번째 항까지의 합에서 n-1번째까지의 합을 빼니까 an이 나온다고 생각하고 있었어요,,
2026. 4. 15. 오전 11:03:15,교사,"맞아, 준호가 잘 알고 있구나. 그런데 선생님이 여기서 주의할 점이 있다고 한 거 기억나니?",Eliciting,Low
2026. 4. 15. 오전 11:03:15,준호,뭔가 기억이 날 것 같은데 기억이 잘 안나요,,
2026. 4. 15. 오전 11:03:15,교사,이 공식을 사용하면 실제로는 Sn이라는 n에 대한 이차식에서 일반항이라는 일차식으로 축소되는 과정이기 때문에 시작 값에 대한 보정이 필요해.,Facilitating,High
2026. 4. 15. 오전 11:03:15,준호,어렵지만 한 번 이해해 볼게요.,,
2026. 4. 15. 오전 11:03:15,교사,당장은 완벽하게 이해하려고 하기 보다는 이 공식을 활용했을 때에는 n>=2 라는 조건이 붙어야 한다는 것을 우선 꼭 기억해야해,Facilitating,Low
2026. 4. 15. 오전 11:03:15,준호,네 감사합니다,,
2026. 4. 15. 오전 10:52:35,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 10:52:35,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 10:52:35,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 10:52:35,교사,그러면 등차수열의 정의를 다시 한 번 떠올려볼까?,Facilitating,Low
2026. 4. 15. 오전 10:52:35,준호,첫째항에 일정한 수를 계속해서 더하여 만든 수열이에요,,
2026. 4. 15. 오전 10:52:35,교사,맞았어! 그러면 첫째항에는 일정한 수 공차를 더해야 하는 걸까?,Facilitating,Low
2026. 4. 15. 오전 10:52:35,준호,음... 아니요,,
2026. 4. 15. 오전 10:52:35,교사,그렇지! 그런데 준호가 지금 구한 식에서는 첫째항에 공차를 더하게 되는 것처럼 보이는데?,Facilitating,High
2026. 4. 15. 오전 10:52:35,준호,오 그렇네요!,,
2026. 4. 15. 오전 10:52:35,교사,그러면 첫째항에는 공차를 더해지지 않도록 하려면 일반항을 어떻게 고쳐봐야 할까?,Facilitating,High
2026. 4. 15. 오전 10:52:35,준호,an=3+2(n-1)이라고 고치면 될 것 같아요,,
2026. 4. 15. 오전 11:08:15,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:08:15,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:08:15,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:08:15,교사,그러면 등차수열의 정의를 다시 한 번 떠올려볼까?,Facilitating,Low
2026. 4. 15. 오전 11:08:15,준호,첫째항에 일정한 수를 계속해서 더하여 만든 수열이에요,,
2026. 4. 15. 오전 11:08:15,교사,맞았어! 그러면 첫째항에는 일정한 수 공차를 더해야 하는 걸까?,Facilitating,Low
2026. 4. 15. 오전 11:08:15,준호,음... 아니요,,
2026. 4. 15. 오전 11:08:15,교사,그렇지! 그런데 준호가 지금 구한 식에서는 첫째항에 공차를 더하게 되는 것처럼 보이는데?,Facilitating,High
2026. 4. 15. 오전 11:08:15,준호,오 그렇네요!,,
2026. 4. 15. 오전 11:08:15,교사,그러면 첫째항에는 공차를 더해지지 않도록 하려면 일반항을 어떻게 고쳐봐야 할까?,Facilitating,High
2026. 4. 15. 오전 11:08:15,준호,an=3+2(n-1)이라고 고치면 될 것 같아요,,
2026. 4. 15. 오전 11:08:15,교사,"아주 좋았어! 등차수열의 정의를 잘 적용해보았구나! 그러면 이번에는 첫째항이 100이고, 공차가 -3인 등차수열의 일반항도 구해볼까?",Facilitating,Low
2026. 4. 15. 오전 11:10:05,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:10:05,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:10:05,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:10:05,교사,그러면 등차수열의 정의를 다시 한 번 떠올려볼까?,Facilitating,Low
2026. 4. 15. 오전 11:10:05,준호,첫째항에 일정한 수를 계속해서 더하여 만든 수열이에요,,
2026. 4. 15. 오전 11:10:05,교사,맞았어! 그러면 첫째항에는 일정한 수 공차를 더해야 하는 걸까?,Facilitating,Low
2026. 4. 15. 오전 11:10:05,준호,음... 아니요,,
2026. 4. 15. 오전 11:10:05,교사,그렇지! 그런데 준호가 지금 구한 식에서는 첫째항에 공차를 더하게 되는 것처럼 보이는데?,Facilitating,High
2026. 4. 15. 오전 11:10:05,준호,오 그렇네요!,,
2026. 4. 15. 오전 11:10:05,교사,그러면 첫째항에는 공차를 더해지지 않도록 하려면 일반항을 어떻게 고쳐봐야 할까?,Facilitating,High
2026. 4. 15. 오전 11:10:05,준호,an=3+2(n-1)이라고 고치면 될 것 같아요,,
2026. 4. 15. 오전 11:10:05,교사,아주 좋았어! 등차수열의 정의를 잘 적용해보았구나! 만약 첫째항이 5이고 공차가 3인 경우에는 일반항을 어떻게 만들 수 있을까?,Facilitating,High
2026. 4. 15. 오전 11:10:05,준호,an=5+3(n-1)이요!,,
2026. 4. 15. 오전 11:10:05,교사,잘했어! 등차수열의 일반항을 어떻게 구해야하는지 잘 이해했구나! 그러면 이번에는 공차가 음수가 될 때는 어떻게 될 지 생각해볼까?,Extending,High
2026. 4. 15. 오전 10:58:26,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 10:58:26,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 10:58:26,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 10:58:26,교사,준호가 쓴 일반항 식에서 첫째항과 공차를 뭐로 둔걸까?,Eliciting,Low
2026. 4. 15. 오전 10:58:26,준호,첫째항을 3 공차를 2로 뒀어요.,,
2026. 4. 15. 오전 10:58:26,교사,등차수열의 일반항 식을 어떻게 세우는지 다시 생각해볼까?,Facilitating,Low
2026. 4. 15. 오전 10:58:26,준호,an= a1+(n-1)이요,,
2026. 4. 15. 오전 10:58:26,교사,그럼 준호가 쓴 식은 첫째항과 공차가 뭘까?,Eliciting,Low
2026. 4. 15. 오전 10:58:26,준호,3+2n=5+2(n-1) 이니깐 첫째항은 5이고 공차는 2인식이네요,,
2026. 4. 15. 오전 10:58:26,교사,그럼 다시 준호가 찾아야하는 식을 세워보자,Facilitating,Low
2026. 4. 15. 오전 10:58:26,준호,첫째항이 3이고 공차가 2여야하니깐.. an=3+2(n-1)이예요,,
2026. 4. 15. 오전 10:58:26,교사,an을 보기좋게 다시 써보자,Facilitating,Low
2026. 4. 15. 오전 10:58:26,준호,an=1+2n 이요,,
2026. 4. 15. 오전 10:58:26,교사,그럼 다시 첫째항을 구해볼까?,Eliciting,Low
2026. 4. 15. 오전 10:58:26,준호,n=1을 대입해야하니깐 a1= 3이 잘 나왔어요,,
2026. 4. 15. 오전 11:12:51,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:12:51,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:12:51,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:12:51,교사,준호가 세운 식이 왜 그렇게 나오게 되었어?,Eliciting,High
2026. 4. 15. 오전 11:12:51,준호,첫째항이 3이고 공차가 2라서 an= 3+2n으로 나왔어요,,
2026. 4. 15. 오전 11:12:51,교사,그렇구나 그런데 n=1을 대입했을때 5가 나왔다고 했지?,Responding,Low
2026. 4. 15. 오전 11:12:51,준호,네 제가 틀렸나요,,
2026. 4. 15. 오전 11:12:51,교사,n=1대입했을때 3이 나오려면 식을 어떻게 써야할까?,Facilitating,Low
2026. 4. 15. 오전 11:12:51,준호,an=1+2n이면 될 것 같아요,,
2026. 4. 15. 오전 11:12:51,교사,잘했어 준호가 쓴 식은 첫째항과 공차를 한눈에 알아보기 쉬운 식 인 것 같아?,Eliciting,High
2026. 4. 15. 오전 11:12:51,준호,음.. 첫째항은 3이고 공차는 2니깐.. 공차는 잘 보이는데 첫째항을 바로 찾는 건 어려워 보여요,,
2026. 4. 15. 오전 11:12:51,교사,그럼 첫째항이 잘 보이게 식을 교정해볼까?,Facilitating,Low
2026. 4. 15. 오전 11:12:51,준호,첫째항이 3이니깐 1+2n=3-3+1+2n=3+(2n-2)=3+2(n-1)로나와요,,
2026. 4. 15. 오전 11:00:23,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:00:23,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:00:23,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:00:23,교사,일반항을 어떤식으로 구했는지 알려줄 수 있니?,Eliciting,High
2026. 4. 15. 오전 11:00:23,준호,첫째항이 3이고 공차가 2여서 n번째 항인 a_n=3+2n으로 구했어요.,,
2026. 4. 15. 오전 11:00:23,교사,원래 나와야할 수열과 일반항식으로 구한 수열을 비교해볼래??,Facilitating,High
2026. 4. 15. 오전 11:00:23,준호,"원래 수열은 3,5,7,9,11..이렇게 나오는데 식으로 구한 수열은 5,7,9,11...이런식으로 2씩 크게 나와요.",,
2026. 4. 15. 오전 11:00:23,교사,그러면 식을 어떻게 하면 원래 나와야하는 수열이 나올까??,Facilitating,High
2026. 4. 15. 오전 11:00:23,준호,2씩 작아지면 될 것 같아요.,,
2026. 4. 15. 오전 11:00:23,교사,그럼 식을 맞게 다시 고쳐볼래??,Facilitating,High
2026. 4. 15. 오전 11:00:23,준호,a_n=3+(n-1)2 으로 고치면 될 것 같아요.,,
2026. 4. 15. 오전 11:00:23,교사,그 식으로 다시 수열을 만들어보자.,Facilitating,Low
2026. 4. 15. 오전 11:00:23,준호,"3,5,7,9,11.. 제대로 구한 것 같아요.",,
2026. 4. 15. 오전 11:05:29,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:05:29,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:05:29,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:05:29,교사,일반항을 어떤식으로 구했는지 알려줄 수 있니?,Eliciting,High
2026. 4. 15. 오전 11:05:29,준호,첫째항이 3이고 공차가 2여서 n번째 항인 a_n=3+2n으로 구했어요.,,
2026. 4. 15. 오전 11:05:29,교사,원래 나와야할 수열과 일반항식으로 구한 수열을 비교해볼래??,Facilitating,High
2026. 4. 15. 오전 11:05:29,준호,"원래 수열은 3,5,7,9,11..이렇게 나오는데 식으로 구한 수열은 5,7,9,11...이런식으로 2씩 크게 나와요.",,
2026. 4. 15. 오전 11:05:29,교사,그러면 식을 어떻게 하면 원래 나와야하는 수열이 나올까??,Facilitating,High
2026. 4. 15. 오전 11:05:29,준호,2씩 작아지면 될 것 같아요.,,
2026. 4. 15. 오전 11:05:29,교사,그럼 식을 맞게 다시 고쳐볼래??,Facilitating,Low
2026. 4. 15. 오전 11:05:29,준호,a_n=3+(n-1)2 으로 고치면 될 것 같아요.,,
2026. 4. 15. 오전 11:05:29,교사,"수정한 식이 왜 맞는지, 각 항에 대입해서 확인해볼 수 있을까?",Extending,High
2026. 4. 15. 오전 11:05:29,준호,"3,5,7,9,11.. 제대로 구한 것 같아요.",,
2026. 4. 15. 오전 11:05:29,교사,이번에는 첫째항이 5이고 공차가 3인 수열의 일반항도 네가 만들어볼 수 있겠니?,Eliciting,High
2026. 4. 15. 오전 11:06:42,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:06:42,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:06:42,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:06:42,교사,일반항을 어떤식으로 구했는지 알려줄 수 있니?,Eliciting,High
2026. 4. 15. 오전 11:06:42,준호,첫째항이 3이고 공차가 2여서 n번째 항인 a_n=3+2n으로 구했어요.,,
2026. 4. 15. 오전 11:06:42,교사,원래 나와야할 수열과 일반항식으로 구한 수열을 비교해볼래??,Facilitating,High
2026. 4. 15. 오전 11:06:42,준호,"원래 수열은 3,5,7,9,11..이렇게 나오는데 식으로 구한 수열은 5,7,9,11...이런식으로 2씩 크게 나와요.",,
2026. 4. 15. 오전 11:06:42,교사,그러면 식을 어떻게 하면 원래 나와야하는 수열이 나올까??,Facilitating,High
2026. 4. 15. 오전 11:06:42,준호,2씩 작아지면 될 것 같아요. a_n=3+(n-1)2 으로 고치면 될 것 같아요.,,
2026. 4. 15. 오전 11:06:42,교사,"수정한 식이 왜 맞는지, 각 항에 대입해서 확인해볼 수 있을까?",Extending,High
2026. 4. 15. 오전 11:06:42,준호,"3,5,7,9,11.. 제대로 구한 것 같아요.",,
2026. 4. 15. 오전 11:06:42,교사,이번에는 첫째항이 5이고 공차가 3인 수열의 일반항도 네가 만들어볼 수 있겠니?,Eliciting,High
