날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 29. 오전 10:46:01,혜원,네 기억나요. 근데 이 식은 쉬운데 굳이 그렇게 풀어야하나요?,,
2026. 4. 29. 오전 10:46:01,교사,이 문제는 계산이 쉬워서 굳이 그럴 필요가 없다고 생각할 수 있어. 그래도 연습겸 한번 해보자,Facilitating,Low
2026. 4. 29. 오전 10:46:01,혜원,"네. 해보니까 이차함수기 -2부터 2까지는 0보다 작고, 나머지 범위에서는 0보다 크게 나와요",,
2026. 4. 29. 오전 10:46:01,교사,맞아. 그래프로 보니 더 시각적으로 잘 보이지 않니?,Facilitating,Low
2026. 4. 29. 오전 10:46:01,혜원,네 훨씬 보기 좋아요. 이 방법으로 푸니까 더 직관적으로 이해가 잘 가는 것 같아요.,,
2026. 4. 29. 오전 10:47:45,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:47:45,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:47:45,교사,저번 수업 때 이차함수로 이차부등식 문제를 풀었던 걸 기억하니?,Eliciting,Low
2026. 4. 29. 오전 10:47:45,혜원,네 기억나요. 근데 이 식은 쉬운데 굳이 그렇게 풀어야하나요?,,
2026. 4. 29. 오전 10:47:45,교사,이 문제는 계산이 쉬워서 굳이 그럴 필요가 없다고 생각할 수 있어. 그래도 연습겸 한번 해보자,Facilitating,Low
2026. 4. 29. 오전 10:47:45,혜원,"네. 해보니까 이차함수기 -2부터 2까지는 0보다 작고, 나머지 범위에서는 0보다 크게 나와요",,
2026. 4. 29. 오전 10:47:45,교사,맞아. 그래프로 보니 더 시각적으로 잘 보이지 않니?,Facilitating,High
2026. 4. 29. 오전 10:47:45,혜원,네 훨씬 보기 좋아요. 이 방법으로 푸니까 더 직관적으로 이해가 잘 가는 것 같아요.,,
2026. 4. 29. 오전 10:47:45,교사,좋아. 그게 핵심이였어. 다른문제에도 한번 적용해서 풀어보자,Extending,High
2026. 4. 29. 오전 10:50:28,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 10:50:28,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 10:50:28,교사,저번 수업 때 이차함수로 이차부등식 문제를 풀었던 걸 기억하니?,Eliciting,Low
2026. 4. 29. 오전 10:50:28,혜원,네 기억나요. 근데 이 식은 쉬운데 굳이 그렇게 풀어야하나요?,,
2026. 4. 29. 오전 10:50:28,교사,이 문제는 계산이 쉬워서 굳이 그럴 필요가 없다고 생각할 수 있어. 그래도 연습겸 한번 해보자,Facilitating,Low
2026. 4. 29. 오전 10:50:28,혜원,"네. 해보니까 이차함수가 -2부터 2까지는 0보다 작고, 나머지 범위에서는 0보다 크게 나와요",,
2026. 4. 29. 오전 10:50:28,교사,맞아. 그래프로 보니 더 시각적으로 잘 보이지 않니?,Facilitating,High
2026. 4. 29. 오전 10:50:28,혜원,네 훨씬 보기 좋아요. 이 방법으로 푸니까 더 직관적으로 이해가 잘 가는 것 같아요.,,
2026. 4. 29. 오전 10:50:28,교사,좋아. 그게 핵심이였어. 다른문제에도 한번 적용해서 풀어보자,Extending,High
2026. 4. 29. 오전 10:50:28,혜원,"이차부등식을 계산하는거라고 생각해서 이차함수와 관련이 아예 없다고 생각했는데, 선생님 수업을 듣고 제 생각이 바뀌었어요. 감사합니다 !",,
2026. 4. 29. 오전 11:25:07,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:25:07,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:25:07,교사,그럼 식으로 푸니까 해가 어떻게 나왔어?,Eliciting,Low
2026. 4. 29. 오전 11:25:07,혜원,X가 -2보다 작거나 2보다 크다고 나왔어요,,
2026. 4. 29. 오전 11:25:07,교사,오 맞아. 근데 우리 수업목표는 뭐였는지 기억나니?,Eliciting,Low
2026. 4. 29. 오전 11:25:07,혜원,이차함수와 이차부등식의 관계를 이해한다. 였어요.,,
2026. 4. 29. 오전 11:25:07,교사,맞아. 그러면 한번 수업목표대로 둘의 관계를 알아볼까$,Facilitating,High
2026. 4. 29. 오전 11:25:07,혜원,그러면 x^2-4=0이라고 생각하고 함수를 그래프로 그려보면 될까요?,,
2026. 4. 29. 오전 11:25:07,교사,한번 해보자. 어떻게 나오니?,Eliciting,Low
2026. 4. 29. 오전 11:25:07,혜원,오. 제가 풀었던대로 x가 -2보다 작고 2보다 클 때 0보다 크다고 나와요.,,
2026. 4. 29. 오전 11:25:07,교사,잘했어~ 둘은 생각보다 관계가 있단다. 다른문제도 한번 이렇게 풀어보자,Responding,Low
2026. 4. 29. 오전 11:25:07,혜원,네. 감사합니다 선생님,,
2026. 4. 29. 오전 11:29:57,교사,혜원이는 어떻게 풀었니?,,
2026. 4. 29. 오전 11:29:57,혜원,"선생님, x^2-4>0은 그냥 식으로 풀었어요",,
2026. 4. 29. 오전 11:29:57,교사,그냥 식으로 푸니까 어때?,Eliciting,High
2026. 4. 29. 오전 11:29:57,혜원,뭔가 이 문제는 계산이 쉬워서 그냥 풀어도 잘 풀리는 것 같아요,,
2026. 4. 29. 오전 11:29:57,교사,그러면 어려운 문제 풀려면 어떡해 풀거같아?,Eliciting,High
2026. 4. 29. 오전 11:29:57,혜원,음.. 그걸 모르겠어요 뭔가 한눈에 보이게 풀 수 있었던 거 같은데..,,
2026. 4. 29. 오전 11:29:57,교사,맞아. 저번 수업시간에 어떻게 풀었는지 기억나니?,Eliciting,High
2026. 4. 29. 오전 11:29:57,혜원,아.. 이차함수를 이용해서 이차부등식을 풀었던 거 같아요,,
2026. 4. 29. 오전 11:29:57,교사,맞아. 한번 그렇게도 풀어볼까?,Facilitating,High
2026. 4. 29. 오전 11:29:57,혜원,풀어보니 똑같이 나오네요. 그리고 시각적으로 보이니까 더 좋아요,,
2026. 4. 29. 오전 11:29:57,교사,맞아. 혹시나 어려운 문제가 나오면 한번 이렇게도 풀어보자,Facilitating,High
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
