날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 22. 오전 11:02:25,준수,네 수열은 자연수에 대해서만 값을 가지고 일차함수는 실수 전체에서 값을 가지기 때문에 등차수열을 일차함수로 생각했을 때 정의역이 달라서 그런 것 같아요.,,
2026. 4. 22. 오전 11:02:25,교사,완벽해!,Responding,Low
2026. 4. 22. 오전 11:34:34,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 11:34:34,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 11:34:34,교사,아하 그렇게 보일 수 있지. 그런데 일차함수 직선과는 조금 다르지 않니?,Eliciting,Low
2026. 4. 22. 오전 11:34:34,준수,네 직선처럼 이어져 있지는 않고 점들이 직선 모양으로 찍혀있어요.,,
2026. 4. 22. 오전 11:34:34,교사,맞아 왜 등차수열을 그래프로 나타냈을 때는 직선이 아니라 점이 찍힌 모양으로 그려질까?,Eliciting,High
2026. 4. 22. 오전 11:34:34,준수,모르겠어요.,,
2026. 4. 22. 오전 11:34:34,교사,그러면 일단 우리가 배웠던 일차함수에 대해 다시 생각해보자. 일차함수에는 어떤 값들을 대입할 수 있었지?,Facilitating,High
2026. 4. 22. 오전 11:34:34,준수,실수 전체요.,,
2026. 4. 22. 오전 11:34:34,교사,그러면 등차수열에도 실수 전체 값을 대입할 수 있을까?,Facilitating,Low
2026. 4. 22. 오전 11:34:34,준수,음… 그건 아닌 것 같아요. 수열은 수의 나열이니까 자연수만 돼요.,,
2026. 4. 22. 오전 11:34:34,교사,맞아. 그러면 등차수열을 일차함수로 생각했을 때 정의역이 어떻게 될까?,Facilitating,High
2026. 4. 22. 오전 11:34:34,준수,자연수…?,,
2026. 4. 22. 오전 11:34:34,교사,맞아! 이제 등차수열의 그래프와 일차함수의 그래프가 왜 다르게 그려지는지 알겠니?,Eliciting,High
2026. 4. 22. 오전 11:34:34,준수,네 수열은 자연수에 대해서만 값을 가지고 일차함수는 실수 전체에서 값을 가지기 때문에 등차수열을 일차함수로 생각했을 때 정의역이 달라서 그런 것 같아요.,,
2026. 4. 22. 오전 11:34:34,교사,완벽해! 그러면 등비수열의 그래프는 어떻게 그려질까?,Eliciting,High
2026. 4. 22. 오전 11:34:34,준수,아까 그렸던 등차수열이랑 비슷한 것 같아요,,
2026. 4. 22. 오전 11:34:34,교사,아 3번째항까지만 그렸구나. 조금만 더 그려볼까?,Facilitating,Low
2026. 4. 22. 오전 11:34:34,준수,어? 점을 더 찍어보니까 확확 올라가요!!,,
2026. 4. 22. 오전 11:34:34,교사,그랬구나? 그러면 우리가 배웠던 함수 중에 비슷하게 생긴 함수가 있을까?,Facilitating,High
2026. 4. 22. 오전 11:34:34,준수,이차함수랑 비슷한 거 같아요.,,
2026. 4. 22. 오전 11:34:34,교사,그렇게도 보일 수 있겠다. 등비수열의 정의를 생각해서 다른 함수도 찾아볼까?,Facilitating,High
2026. 4. 22. 오전 11:34:34,준수,등비수열은 공비를 계속 곱하니까 지수함수랑 비슷한 거 같아요!,,
2026. 4. 22. 오전 11:34:34,교사,"그래. 잘했어. 등차수열은 정의역이 자연수인 일차함수로 생각할 수 있고, 등비수열도 정의역이 자연수인 지수함수로 생각할 수 있어.",Responding,Low
2026. 4. 22. 오전 11:34:34,준수,"네 이해가 쏙쏙 돼요, 수열이 함수와 이렇게 관련이 있다니 신기해요.",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
